record_id,series,trial_key,profile,category,stage,source,source_line,timed_start_ns,timed_end_ns,timing_scope,utc_end,nominal_censor_budget_ms,confirmed_messages,note
historical-001,main,Tmain001,redis-always,completed,prefill_and_drain,data/raw/main/summary.jsonl,1,18206136345437038,18206164013033884,Prefill start to last consumer acknowledgment; excludes setup and warm-up,2026-09-23T21:33:11.508125332Z,,16384,
historical-002,main,Tmain002,redis-memory,completed,prefill_and_drain,data/raw/main/summary.jsonl,2,18206164562834920,18206165246507786,Prefill start to last consumer acknowledgment; excludes setup and warm-up,2026-09-23T21:33:12.756317334Z,,16384,
historical-003,main,Tmain003,redis-periodic,completed,prefill_and_drain,data/raw/main/summary.jsonl,3,18206165716416729,18206172712827290,Prefill start to last consumer acknowledgment; excludes setup and warm-up,2026-09-23T21:33:20.080594026Z,,16384,
historical-004,main,Tmain004,nats-always,completed,prefill_and_drain,data/raw/main/summary.jsonl,4,18206173441648193,18206198133029445,Prefill start to last consumer acknowledgment; excludes setup and warm-up,2026-09-23T21:33:45.595926881Z,,16384,
historical-005,main,Tmain005,redis-always,completed,prefill_and_drain,data/raw/main/summary.jsonl,5,18206199343098772,18206259061978134,Prefill start to last consumer acknowledgment; excludes setup and warm-up,2026-09-23T21:34:46.426151302Z,,16384,
historical-006,main,Tmain006,redis-periodic,completed,prefill_and_drain,data/raw/main/summary.jsonl,6,18206259456351474,18206260259099610,Prefill start to last consumer acknowledgment; excludes setup and warm-up,2026-09-23T21:34:47.754389074Z,,16384,
historical-007,main,Tmain007,nats-periodic,completed,prefill_and_drain,data/raw/main/summary.jsonl,7,18206260770604948,18206261927448548,Prefill start to last consumer acknowledgment; excludes setup and warm-up,2026-09-23T21:34:49.384298378Z,,16384,
historical-008,main,Tmain008,redis-periodic,completed,prefill_and_drain,data/raw/main/summary.jsonl,8,18206262448634254,18206264882727564,Prefill start to last consumer acknowledgment; excludes setup and warm-up,2026-09-23T21:34:52.38906003Z,,16384,
historical-009,main,Tmain009,redis-memory,completed,prefill_and_drain,data/raw/main/summary.jsonl,9,18206265460232784,18206267780377768,Prefill start to last consumer acknowledgment; excludes setup and warm-up,2026-09-23T21:34:55.297418853Z,,16384,
historical-010,main,Tmain010,nats-periodic,completed,prefill_and_drain,data/raw/main/summary.jsonl,10,18206268310045323,18206271823820033,Prefill start to last consumer acknowledgment; excludes setup and warm-up,2026-09-23T21:34:59.295666902Z,,16384,
historical-011,main,Tmain011,nats-periodic,completed,prefill_and_drain,data/raw/main/summary.jsonl,11,18206272275354597,18206279766035258,Prefill start to last consumer acknowledgment; excludes setup and warm-up,2026-09-23T21:35:07.128714509Z,,16384,
historical-012,main,Tmain012,nats-always,completed,prefill_and_drain,data/raw/main/summary.jsonl,12,18206282156913660,18206308660540538,Prefill start to last consumer acknowledgment; excludes setup and warm-up,2026-09-23T21:35:36.128201451Z,,16384,
historical-013,main,Tmain013,redis-always,completed,prefill_and_drain,data/raw/main/summary.jsonl,13,18206309396368658,18206325378600148,Prefill start to last consumer acknowledgment; excludes setup and warm-up,2026-09-23T21:35:52.870490189Z,,16384,
historical-014,main,Tmain014,nats-memory,completed,prefill_and_drain,data/raw/main/summary.jsonl,14,18206325878791378,18206327572708784,Prefill start to last consumer acknowledgment; excludes setup and warm-up,2026-09-23T21:35:55.027805694Z,,16384,
historical-015,main,Tmain015,nats-memory,completed,prefill_and_drain,data/raw/main/summary.jsonl,15,18206328045866420,18206328876682479,Prefill start to last consumer acknowledgment; excludes setup and warm-up,2026-09-23T21:35:56.327302307Z,,16384,
historical-016,main,Tmain016,redis-always,completed,prefill_and_drain,data/raw/main/summary.jsonl,16,18206330170499310,18206380367281773,Prefill start to last consumer acknowledgment; excludes setup and warm-up,2026-09-23T21:36:47.889621818Z,,16384,
historical-017,main,Tmain017,redis-memory,completed,prefill_and_drain,data/raw/main/summary.jsonl,17,18206380839141795,18206386640530978,Prefill start to last consumer acknowledgment; excludes setup and warm-up,2026-09-23T21:36:54.000639752Z,,16384,
historical-018,main,Tmain018,nats-memory,completed,prefill_and_drain,data/raw/main/summary.jsonl,18,18206387015366875,18206388124203826,Prefill start to last consumer acknowledgment; excludes setup and warm-up,2026-09-23T21:36:55.581564058Z,,16384,
historical-019,main,Tmain019,redis-memory,completed,prefill_and_drain,data/raw/main/summary.jsonl,19,18206388670150437,18206390146583900,Prefill start to last consumer acknowledgment; excludes setup and warm-up,2026-09-23T21:36:57.696717095Z,,16384,
historical-020,main,Tmain020,nats-memory,completed,prefill_and_drain,data/raw/main/summary.jsonl,20,18206390677729677,18206397938317871,Prefill start to last consumer acknowledgment; excludes setup and warm-up,2026-09-23T21:37:05.294373228Z,,16384,
historical-021,main,Tmain021,redis-memory,completed,prefill_and_drain,data/raw/main/summary.jsonl,21,18206398314769695,18206399205767567,Prefill start to last consumer acknowledgment; excludes setup and warm-up,2026-09-23T21:37:06.730130668Z,,16384,
historical-022,main,Tmain022,nats-always,completed,prefill_and_drain,data/raw/main/summary.jsonl,22,18206408174112937,18206433192183844,Prefill start to last consumer acknowledgment; excludes setup and warm-up,2026-09-23T21:37:40.659124528Z,,16384,
historical-023,main,Tmain023,redis-periodic,completed,prefill_and_drain,data/raw/main/summary.jsonl,23,18206433665497275,18206435164192491,Prefill start to last consumer acknowledgment; excludes setup and warm-up,2026-09-23T21:37:42.692588787Z,,16384,
historical-024,main,Tmain024,nats-periodic,completed,prefill_and_drain,data/raw/main/summary.jsonl,24,18206435698093439,18206437402587000,Prefill start to last consumer acknowledgment; excludes setup and warm-up,2026-09-23T21:37:44.857028879Z,,16384,
historical-025,main,Tmain025,nats-always,completed,prefill_and_drain,data/raw/main/summary.jsonl,25,18206438206619366,18206468989515959,Prefill start to last consumer acknowledgment; excludes setup and warm-up,2026-09-23T21:38:16.355165904Z,,16384,
historical-026,main,Tmain026,nats-always,completed,prefill_and_drain,data/raw/main/summary.jsonl,26,18206469930573587,18206494245136679,Prefill start to last consumer acknowledgment; excludes setup and warm-up,2026-09-23T21:38:41.708512812Z,,16384,
historical-027,main,Tmain027,redis-always,completed,prefill_and_drain,data/raw/main/summary.jsonl,27,18206494968588392,18206504867806249,Prefill start to last consumer acknowledgment; excludes setup and warm-up,2026-09-23T21:38:52.406883303Z,,16384,
historical-028,main,Tmain028,nats-periodic,completed,prefill_and_drain,data/raw/main/summary.jsonl,28,18206505467797696,18206506390459807,Prefill start to last consumer acknowledgment; excludes setup and warm-up,2026-09-23T21:38:53.843211474Z,,16384,
historical-029,main,Tmain029,nats-memory,completed,prefill_and_drain,data/raw/main/summary.jsonl,29,18206506858551627,18206510238645648,Prefill start to last consumer acknowledgment; excludes setup and warm-up,2026-09-23T21:38:57.701313193Z,,16384,
historical-030,main,Tmain030,redis-periodic,completed,prefill_and_drain,data/raw/main/summary.jsonl,30,18206510791682738,18206511777190859,Prefill start to last consumer acknowledgment; excludes setup and warm-up,2026-09-23T21:38:59.307497478Z,,16384,
historical-031,main,Tmain031,redis-periodic,completed,prefill_and_drain,data/raw/main/summary.jsonl,31,18206512404923629,18206513287640254,Prefill start to last consumer acknowledgment; excludes setup and warm-up,2026-09-23T21:39:00.823429659Z,,16384,
historical-032,main,Tmain032,redis-memory,completed,prefill_and_drain,data/raw/main/summary.jsonl,32,18206513913685024,18206514619772335,Prefill start to last consumer acknowledgment; excludes setup and warm-up,2026-09-23T21:39:02.118933443Z,,16384,
historical-033,main,Tmain033,nats-always,completed,prefill_and_drain,data/raw/main/summary.jsonl,33,18206515491826322,18206540643642493,Prefill start to last consumer acknowledgment; excludes setup and warm-up,2026-09-23T21:39:28.104564238Z,,16384,
historical-034,main,Tmain034,redis-always,completed,prefill_and_drain,data/raw/main/summary.jsonl,34,18206541937182211,18206594474683874,Prefill start to last consumer acknowledgment; excludes setup and warm-up,2026-09-23T21:40:22.034877063Z,,16384,
historical-035,main,Tmain035,nats-memory,completed,prefill_and_drain,data/raw/main/summary.jsonl,35,18206595053399373,18206598396137397,Prefill start to last consumer acknowledgment; excludes setup and warm-up,2026-09-23T21:40:25.859540809Z,,16384,
historical-036,main,Tmain036,nats-memory,completed,prefill_and_drain,data/raw/main/summary.jsonl,36,18206598916639651,18206599752140080,Prefill start to last consumer acknowledgment; excludes setup and warm-up,2026-09-23T21:40:27.207128969Z,,16384,
historical-037,main,Tmain037,nats-always,completed,prefill_and_drain,data/raw/main/summary.jsonl,37,18206600580909066,18206633442415616,Prefill start to last consumer acknowledgment; excludes setup and warm-up,2026-09-23T21:41:00.815374839Z,,16384,
historical-038,main,Tmain038,nats-periodic,completed,prefill_and_drain,data/raw/main/summary.jsonl,38,18206633868903749,18206634738595812,Prefill start to last consumer acknowledgment; excludes setup and warm-up,2026-09-23T21:41:02.195133663Z,,16384,
historical-039,main,Tmain039,nats-memory,completed,prefill_and_drain,data/raw/main/summary.jsonl,39,18206635203662743,18206636259120505,Prefill start to last consumer acknowledgment; excludes setup and warm-up,2026-09-23T21:41:03.722016513Z,,16384,
historical-040,main,Tmain040,redis-periodic,completed,prefill_and_drain,data/raw/main/summary.jsonl,40,18206636818369237,18206640224380385,Prefill start to last consumer acknowledgment; excludes setup and warm-up,2026-09-23T21:41:07.747311092Z,,16384,
historical-041,main,Tmain041,nats-always,completed,prefill_and_drain,data/raw/main/summary.jsonl,41,18206641134310208,18206668972930232,Prefill start to last consumer acknowledgment; excludes setup and warm-up,2026-09-23T21:41:36.439042197Z,,16384,
historical-042,main,Tmain042,redis-always,completed,prefill_and_drain,data/raw/main/summary.jsonl,42,18206669655494026,18206679697219598,Prefill start to last consumer acknowledgment; excludes setup and warm-up,2026-09-23T21:41:47.260104551Z,,16384,
historical-043,main,Tmain043,redis-memory,completed,prefill_and_drain,data/raw/main/summary.jsonl,43,18206680284256131,18206682861793336,Prefill start to last consumer acknowledgment; excludes setup and warm-up,2026-09-23T21:41:50.418068763Z,,16384,
historical-044,main,Tmain044,redis-periodic,completed,prefill_and_drain,data/raw/main/summary.jsonl,44,18206683418274772,18206684472201955,Prefill start to last consumer acknowledgment; excludes setup and warm-up,2026-09-23T21:41:51.931099977Z,,16384,
historical-045,main,Tmain045,nats-periodic,completed,prefill_and_drain,data/raw/main/summary.jsonl,45,18206684946769921,18206686142310257,Prefill start to last consumer acknowledgment; excludes setup and warm-up,2026-09-23T21:41:53.593139396Z,,16384,
historical-046,main,Tmain046,redis-memory,completed,prefill_and_drain,data/raw/main/summary.jsonl,46,18206686606781478,18206687979202628,Prefill start to last consumer acknowledgment; excludes setup and warm-up,2026-09-23T21:41:55.437514495Z,,16384,
historical-047,main,Tmain047,nats-memory,completed,prefill_and_drain,data/raw/main/summary.jsonl,47,18206688436598910,18206690113155485,Prefill start to last consumer acknowledgment; excludes setup and warm-up,2026-09-23T21:41:57.574467793Z,,16384,
historical-048,main,Tmain048,nats-memory,completed,prefill_and_drain,data/raw/main/summary.jsonl,48,18206690563184351,18206697885932600,Prefill start to last consumer acknowledgment; excludes setup and warm-up,2026-09-23T21:42:05.245166246Z,,16384,
historical-049,main,Tmain049,nats-periodic,completed,prefill_and_drain,data/raw/main/summary.jsonl,49,18206698250695029,18206700026954089,Prefill start to last consumer acknowledgment; excludes setup and warm-up,2026-09-23T21:42:07.485959922Z,,16384,
historical-050,main,Tmain050,nats-periodic,completed,prefill_and_drain,data/raw/main/summary.jsonl,50,18206700512467889,18206703507584159,Prefill start to last consumer acknowledgment; excludes setup and warm-up,2026-09-23T21:42:10.97150963Z,,16384,
historical-051,main,Tmain051,nats-periodic,completed,prefill_and_drain,data/raw/main/summary.jsonl,51,18206703935119767,18206711518470228,Prefill start to last consumer acknowledgment; excludes setup and warm-up,2026-09-23T21:42:18.878804284Z,,16384,
historical-052,main,Tmain052,nats-always,excluded_setup_failure,setup,data/raw/main/summary.jsonl,52,,,Unavailable; no duration is imputed,,,,
historical-053,main,Tmain052r2,nats-always,completed,prefill_and_drain,data/raw/main/summary.jsonl,53,18207133548692066,18207159482668903,Prefill start to last consumer acknowledgment; excludes setup and warm-up,2026-09-23T21:49:46.951932065Z,,16384,
historical-054,main,Tmain053,redis-memory,completed,prefill_and_drain,data/raw/main/summary.jsonl,54,18207159956946758,18207160867193454,Prefill start to last consumer acknowledgment; excludes setup and warm-up,2026-09-23T21:49:48.374110354Z,,16384,
historical-055,main,Tmain054,redis-always,completed,prefill_and_drain,data/raw/main/summary.jsonl,55,18207161871026918,18207189345873351,Prefill start to last consumer acknowledgment; excludes setup and warm-up,2026-09-23T21:50:16.834193926Z,,16384,
historical-056,main,Tmain055,redis-always,completed,prefill_and_drain,data/raw/main/summary.jsonl,56,18207190128085243,18207206005248010,Prefill start to last consumer acknowledgment; excludes setup and warm-up,2026-09-23T21:50:33.548834442Z,,16384,
