key,profile,block_zero_based,message_count,p99_rank_one_based,order_positions_above_p99,p99_ms
D001,nats-periodic,0,257688,255112,2576,0.818927
D002,redis-memory,0,370392,366689,3703,0.457973
D003,nats-always,0,3541,3506,35,41.461677
D004,nats-memory,0,273779,271042,2737,0.858326
D005,redis-always,0,25704,25447,257,5.806109
D006,redis-periodic,0,303669,300633,3036,0.554308
D007,redis-always,1,26037,25777,260,4.236849
D008,redis-memory,1,370770,367063,3707,0.468833
D009,nats-memory,1,303864,300826,3038,0.670152
D010,nats-always,1,377,374,3,277.779826
D011,nats-periodic,1,246698,244232,2466,0.854388
D012,redis-periodic,1,306316,303253,3063,0.573727
D013,redis-always,2,25082,24832,250,6.221108
D014,redis-periodic,2,310076,306976,3100,0.550293
D015,nats-memory,2,306274,303212,3062,0.671788
D016,nats-always,2,3351,3318,33,46.007516
D017,redis-memory,2,365505,361850,3655,0.522908
D018,nats-periodic,2,252332,249809,2523,0.830431
D019,redis-periodic,3,310204,307102,3102,0.554183
D020,nats-memory,3,302179,299158,3021,0.695729
D021,redis-always,3,2608,2582,26,59.384193
D022,nats-always,3,3577,3542,35,41.39417
D023,redis-memory,3,370658,366952,3706,0.47165
D024,nats-periodic,3,257750,255173,2577,0.819886
D025,redis-periodic,4,304406,301362,3044,0.563297
D026,nats-periodic,4,244250,241808,2442,0.914104
D027,redis-always,4,15184,15033,151,7.458387
D028,nats-memory,4,306016,302956,3060,0.696528
D029,redis-memory,4,372128,368407,3721,0.463454
D030,nats-always,4,430,426,4,277.285952
D031,nats-always,5,459,455,4,307.886011
D032,redis-always,5,2774,2747,27,99.782011
D033,nats-periodic,5,246925,244456,2469,0.819724
D034,redis-periodic,5,303871,300833,3038,0.561862
D035,redis-memory,5,371958,368239,3719,0.483772
D036,nats-memory,5,302986,299957,3029,0.699171
D037,nats-memory,6,310872,307764,3108,0.673378
D039,nats-periodic,6,247626,245150,2476,0.873696
D040,nats-always,6,149,148,1,4440.93891
D041,redis-periodic,6,308840,305752,3088,0.555884
D042,redis-memory,6,369289,365597,3692,0.46344
D043,nats-always,7,553,548,5,270.683746
D044,nats-periodic,7,248177,245696,2481,0.846032
D045,redis-always,7,5177,5126,51,37.441333
D046,redis-periodic,7,306973,303904,3069,0.540433
D047,redis-memory,7,366184,362523,3661,0.471319
D048,nats-memory,7,309581,306486,3095,0.673509
D049,redis-always,8,7564,7489,75,35.089168
D050,nats-always,8,3510,3475,35,42.414926
D051,redis-memory,8,371744,368027,3717,0.469082
D052,nats-memory,8,303708,300671,3037,0.670085
D053,nats-periodic,8,243055,240625,2430,0.879896
D054,redis-periodic,8,305536,302481,3055,0.577743
D055,nats-always,9,2893,2865,28,49.831142
D056,redis-always,9,26221,25959,262,5.593761
D057,redis-periodic,9,309117,306026,3091,0.54261
D058,nats-periodic,9,251723,249206,2517,0.834455
D059,redis-memory,9,366720,363053,3667,0.471478
D060,nats-memory,9,299618,296622,2996,0.733661
