id,campaign,block,kind,engine,version,profile,host,publishers,consumers,cpus,seconds,count,payload,compression,trace,recovery,delta_ms,age,kill,seed,pilot,status,error,stage,attempt_records,confirmed_records,unknown_records,throughput_mps,p50_ms,p99_ms,sample_count,mean_ms,max_ms,p99_rank,positions_above_p99,measured_seconds,driver_sample_seconds,driver_mean_cores,driver_quota_percent,driver_throttled_usec,driver_throttled_periods,driver_host_busy_fraction,driver_host_iowait_fraction,broker_sample_seconds,broker_mean_cores,broker_quota_percent,broker_throttled_usec,broker_throttled_periods,broker_host_busy_fraction,broker_host_iowait_fraction,seconds_until_workers_joined,retained_count_at_reconciliation,reset_verified,occupancy,censored,actual_age_ms,observation_seconds,receipt_excess_ms,reference_to_redelivery_ms,redelivery_before_reference,after_nominal_deadline,sync_complete_calls,sync_by_call,sync_errors,sync_mean_ms,sync_p50_ms,sync_p99_ms,sync_max_ms,sync_sum_call_seconds,sync_broker_bracket_seconds,sync_boundary_overlap_calls,sync_calls_per_confirmed_message
F0001,main01,0,publication,nats,2.10.24,memory,nats-old,1,0,2,15,65536,compressible,inherited,False,,250,0.1,True,2026092402,False,complete,,complete,68143.0,68143.0,0.0,4542.825004721403,0.215047,0.312866,68143.0,0.21686676395227797,6.487091,67462.0,681.0,15.000137564,15.000740018,0.4824291995805723,24.121459979028614,0.0,0.0,0.29288919571971006,0.0029340697273041077,15.002474768,0.1795799054264405,8.978995271322026,0.0,0.0,0.06069388440860215,0.0008400537634408602,,,,,,,,,,,,,,,,,,,,,,
F0002,main01,0,publication,redis,7.4.2,memory,redis-old,16,0,2,15,65536,compressible,inherited,False,,250,0.1,True,2026092403,False,complete,,complete,1103486.0,1103486.0,0.0,73565.08438139364,0.205779,0.462642,1103486.0,0.2162400990705708,6.378343,1092452.0,11034.0,15.000132322,15.000591491,1.1077876502383317,55.38938251191659,0.0,0.0,0.6171171171171171,0.0025025025025025025,15.001749364,0.5252955377931217,26.264776889656083,0.0,0.0,0.13752513404825736,0.0008378016085790885,,,,,,,,,,,,,,,,,,,,,,
F0003,main01,0,publication,nats,2.10.24,always,nats-old,16,0,2,15,65536,compressible,inherited,False,,250,0.1,True,2026092404,False,complete,,complete,10488.0,10488.0,0.0,698.7155664768692,22.578393,42.518084,10488.0,22.893541790045767,191.634523,10384.0,104.0,15.010399801,15.010992588,0.059783121918093374,2.9891560959046686,0.0,0.0,0.12350664647484436,0.003365303718660609,15.012724499,0.19044611124319547,9.522305562159774,0.0,0.0,0.08476210438063299,0.045231607629427795,,,,,,,,,,,,,,,,,,,,,,
F0004,main01,0,publication,redis,8.10.2,periodic,redis-current,16,0,2,15,65536,compressible,inherited,False,,250,0.1,True,2026092405,False,complete,,complete,910897.0,910897.0,0.0,60725.50253595964,0.24611,0.56136,910897.0,0.2620871175577578,12.736598,901789.0,9108.0,15.000238153,15.000925757,1.005596404139313,50.27982020696565,0.0,0.0,0.6002338790511192,0.002171734046107584,15.002429369,0.6268719397828348,31.34359698914174,0.0,0.0,0.1412218541657931,0.002599689714453436,,,,,,,,,,,,,,,,,,,,,,
F0005,main01,0,publication,redis,7.4.2,periodic,redis-old,1,0,2,15,65536,compressible,inherited,False,,250,0.1,True,2026092406,False,complete,,complete,83313.0,83313.0,0.0,5554.164061966576,0.176374,0.265312,83313.0,0.1771277313384473,4.71895,82480.0,833.0,15.000097057,15.000692983,0.34662125315760817,17.33106265788041,0.0,0.0,0.2671989128588415,0.004076779344317989,15.002400212,0.11173698716950346,5.586849358475173,0.0,0.0,0.06305703167496549,0.00343110590401272,,,,,,,,,,,,,,,,,,,,,,
F0006,main01,0,publication,nats,2.15.0,always,nats-current,16,0,2,15,65536,compressible,inherited,False,,250,0.1,True,2026092407,False,failed,nats: timeout,measurement,865.0,849.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,18.51140475,864.0,True,,,,,,,,,,,,,,,,,,,
F0007,main01,0,publication,nats,2.15.0,always,nats-current,1,0,2,15,65536,compressible,inherited,False,,250,0.1,True,2026092408,False,complete,,complete,8392.0,8392.0,0.0,559.4628032403326,1.727538,3.298397,8392.0,1.782805818994281,8.849991,8309.0,83.0,15.000103584,15.000824328,0.08685309363753518,4.342654681876759,0.0,0.0,0.11563133018230926,0.0032072923700202567,15.002863262,0.20636767435199996,10.318383717599998,0.0,0.0,0.08859748665573908,0.042113226579245995,,,,,,,,,,,,,,,,,,,,,,
F0008,main01,0,publication,nats,2.10.24,always,nats-old,1,0,2,15,65536,compressible,inherited,False,,250,0.1,True,2026092409,False,complete,,complete,8582.0,8582.0,0.0,572.1114231821597,1.682612,2.765115,8582.0,1.7435597480773717,161.001805,8497.0,85.0,15.000574455,15.00125755,0.0851436618392036,4.25718309196018,0.0,0.0,0.12928270042194093,0.0033755274261603376,15.00297732,0.20216707226216082,10.108353613108042,0.0,0.0,0.07468705368394522,0.03814164496345459,,,,,,,,,,,,,,,,,,,,,,
F0009,main01,0,publication,nats,2.10.24,periodic,nats-old,1,0,2,15,65536,compressible,inherited,False,,250,0.1,True,2026092410,False,complete,,complete,63146.0,63146.0,0.0,4209.195302484636,0.230074,0.377035,63146.0,0.23450286235074322,50.083738,62515.0,631.0,15.001917341,15.002521033,0.42002274058734856,21.001137029367428,0.0,0.0,0.3284558443794113,0.003270786710277156,15.004272341,0.2248638869864139,11.243194349320696,0.0,0.0,0.12223340040241448,0.0014671361502347417,,,,,,,,,,,,,,,,,,,,,,
F0010,main01,0,publication,nats,2.10.24,periodic,nats-old,16,0,2,15,65536,compressible,inherited,False,,250,0.1,True,2026092411,False,complete,,complete,745935.0,745935.0,0.0,49728.341610017975,0.284905,0.866357,745935.0,0.32021796541655956,21.707564,738476.0,7459.0,15.000198596,15.00081841,1.0929338354679807,54.646691773399034,0.0,0.0,0.5746343085106383,0.06382978723404255,15.002032707,1.2394594361418627,61.97297180709314,0.0,0.0,0.1972254721711516,0.02448604379074043,,,,,,,,,,,,,,,,,,,,,,
